Countries or Regions,Currency Code,Price,Proceeds,May Adjust Automatically
Indonesia,IDR,89000,68153,Y
Iraq,USD,4.99,4.24,Y
Ireland,EUR,5.99,4.14,Y
Israel,ILS,17.9,15.22,Y
Italy,EUR,5.99,4.16,Y
Jamaica,USD,4.99,4.24,Y
Japan,JPY,800,618,Y
Jordan,USD,4.99,4.24,Y
Kazakhstan,KZT,2990.0,2190.95,Y
Kenya,USD,5.99,4.38,Y
"Korea, Republic of",KRW,6600,5100,Y
Kosovo,EUR,5.99,4.31,Y
Kuwait,USD,4.99,4.24,Y
Kyrgyzstan,USD,4.99,3.79,Y
Laos,USD,4.99,3.86,Y
Latvia,EUR,5.99,4.21,Y
Lebanon,USD,4.99,4.24,Y
Liberia,USD,4.99,4.24,Y
Libya,USD,4.99,4.24,Y
Lithuania,EUR,5.99,4.21,Y
Luxembourg,EUR,5.99,4.35,Y
Macau,USD,4.99,4.24,Y
Madagascar,USD,4.99,4.24,Y
Malawi,USD,4.99,4.24,Y
Malaysia,MYR,22.9,18.02,Y
Maldives,USD,4.99,4.24,Y
Mali,USD,4.99,4.24,Y
Malta,EUR,5.99,4.31,Y
Mauritania,USD,4.99,4.24,Y
Mauritius,USD,5.99,4.43,Y
Mexico,MXN,99.0,72.54,Y
Micronesia,USD,4.99,4.24,Y
Moldova,USD,5.99,4.24,Y
Mongolia,USD,4.99,4.24,Y
Montenegro,EUR,4.99,4.24,Y
Montserrat,USD,4.99,4.24,Y
Morocco,USD,4.99,4.24,Y
Mozambique,USD,4.99,4.24,Y
Myanmar,USD,4.99,4.24,Y
Namibia,USD,4.99,4.24,Y
Nauru,USD,4.99,4.24,Y
Nepal,USD,5.99,4.42,Y
Netherlands,EUR,5.99,4.21,Y
New Zealand,NZD,9.99,7.38,Y
Nicaragua,USD,4.99,4.24,Y
Niger,USD,4.99,4.24,Y
Nigeria,NGN,7900.0,6246.51,Y
North Macedonia,USD,4.99,4.24,Y
Norway,NOK,59.0,40.12,Y
Oman,USD,4.99,4.04,Y
Pakistan,PKR,1300.0,1105.0,Y
Palau,USD,4.99,4.24,Y
Panama,USD,4.99,4.24,Y
Papua New Guinea,USD,4.99,4.24,Y
Paraguay,USD,4.99,4.24,Y
Peru,PEN,22.9,16.5,Y
Philippines,PHP,299.0,226.92,Y
Poland,PLN,24.99,17.27,Y
Portugal,EUR,5.99,4.14,Y
Qatar,QAR,19.99,16.99,Y
Romania,RON,29.99,21.07,Y
Russia,RUB,449.0,312.83,Y
Rwanda,USD,4.99,4.24,Y
São Tomé and Príncipe,USD,4.99,4.24,Y
Saudi Arabia,SAR,19.99,14.78,Y
Senegal,USD,5.99,4.31,Y
Serbia,EUR,5.99,4.24,Y
Seychelles,USD,4.99,4.24,Y
Sierra Leone,USD,4.99,4.24,Y
Singapore,SGD,6.98,5.44,Y
Slovakia,EUR,5.99,4.14,Y
Slovenia,EUR,5.99,4.17,Y
Solomon Islands,USD,4.99,4.24,Y
South Africa,ZAR,99.99,73.91,Y
Spain,EUR,5.99,4.2,Y
Sri Lanka,USD,4.99,4.24,Y
St. Kitts and Nevis,USD,4.99,4.24,Y
St. Lucia,USD,4.99,4.24,Y
St. Vincent and the Grenadines,USD,4.99,4.24,Y
Suriname,USD,4.99,3.86,Y
Sweden,SEK,69.0,46.92,Y
Switzerland,CHF,4.0,3.15,Y
Taiwan,TWD,150,118,Y
Tajikistan,USD,4.99,3.72,Y
Tanzania,TZS,14900.0,10518.39,Y
Thailand,THB,199.0,158.08,Y
Tonga,USD,4.99,4.24,Y
Trinidad and Tobago,USD,4.99,4.24,Y
Tunisia,USD,4.99,4.24,Y
Türkiye,TRY,249.99,168.22,Y
Turkmenistan,USD,4.99,4.24,Y
Turks and Caicos Islands,USD,4.99,4.24,Y
Uganda,USD,5.99,4.1,Y
Ukraine,USD,5.99,4.24,Y
United Arab Emirates,AED,19.99,16.18,Y
United States,USD,4.99,4.24,Y
Uruguay,USD,4.99,4.17,Y
Uzbekistan,USD,4.99,3.79,Y
Vanuatu,USD,4.99,4.24,Y
Venezuela,USD,4.99,4.24,Y
Vietnam,VND,149000,113985,Y
Yemen,USD,4.99,4.24,Y
Zambia,USD,5.99,4.39,Y
Zimbabwe,USD,5.99,4.19,Y
